city,station_name,empty_slots,slots,free_bikes,ebikes,latitude,longitude,timestamp
Vancouver,1st & Manitoba,18,32,14,1,49.27023,-123.10651,2023-06-03T16:41:29.905000Z
Vancouver,10th & Ontario,11,20,9,2,49.262062,-123.104656,2023-06-03T16:41:29.906000Z
Vancouver,Quebec & 1st,6,18,12,2,49.27033,-123.10275,2023-06-03T16:41:29.906000Z
Vancouver,Columbia & 14th,10,14,4,2,49.258902,-123.109596,2023-06-03T16:41:29.910000Z
Vancouver,Bute & Davie,10,20,10,5,49.282224,-123.132778,2023-06-03T16:41:29.908000Z
Vancouver,7th & Laurel,7,14,7,0,49.265071,-123.123864,2023-06-03T16:41:29.866000Z
Vancouver,7th &  Alder,11,16,5,1,49.265198,-123.131043,2023-06-03T16:41:29.853000Z
Vancouver,Science World,6,16,10,0,49.273691,-123.102232,2023-06-03T16:41:29.855000Z
Vancouver,1st & Scotia,0,20,20,1,49.2685027,-123.0975014,2023-06-03T16:41:29.868000Z
Vancouver,Georgia & Main,3,20,17,1,49.278529,-123.100017,2023-06-03T16:41:29.850000Z
Vancouver,Shaw Tower,9,18,5,0,49.288682,-123.11818,2023-06-03T16:41:29.781000Z
Vancouver,York & Yew,14,20,4,1,49.271741,-123.155421,2023-06-03T16:41:29.778000Z
Vancouver,Pine & 10th,12,20,8,0,49.262822,-123.14338,2023-06-03T16:41:29.778000Z
Vancouver,8th & Scotia,4,12,6,6,49.263635,-123.099236,2023-06-03T16:41:29.776000Z
Vancouver,Alberni & Jervis,12,18,6,2,49.28763,-123.127245,2023-06-03T16:41:29.777000Z
Vancouver,Stanley Park - Information Booth,5,20,15,4,49.297933,-123.130758,2023-06-03T16:41:29.785000Z
Vancouver,14th & Alder,7,14,7,1,49.258819,-123.131317,2023-06-03T16:41:29.846000Z
Vancouver,Pender & Gore,8,14,6,1,49.280284,-123.097052,2023-06-03T16:41:30.005000Z
Vancouver,Carrall & Seawall,6,12,6,1,49.276294,-123.106534,2023-06-03T16:41:30.026000Z
Vancouver,Glen & Union,6,14,8,1,49.277469,-123.081315,2023-06-03T16:41:30.019000Z
Vancouver,Adanac & McLean,10,22,11,0,49.277665,-123.073653,2023-06-03T16:41:29.784000Z
Vancouver,Commercial & Adanac,3,16,13,3,49.277436,-123.070427,2023-06-03T16:41:30.020000Z
Vancouver,Pender & Commercial,5,16,11,1,49.280332,-123.070068,2023-06-03T16:41:30.021000Z
Vancouver,Keefer & Princess,13,14,1,1,49.279369,-123.091241,2023-06-03T16:41:30.014000Z
Vancouver,Alexander & Railway,14,20,6,0,49.283992,-123.091206,2023-06-03T16:41:29.787000Z
Vancouver,Napier & Commercial,7,14,7,2,49.274881,-123.069323,2023-06-03T16:41:29.713000Z
Vancouver,Britannia Parking Lot,7,14,7,0,49.275882,-123.071865,2023-06-03T16:41:29.702000Z
Vancouver,Thornton & National,3,14,11,0,49.273777,-123.092723,2023-06-03T16:41:29.737000Z
Vancouver,Keith & 6th,18,28,10,0,49.265005,-123.079481,2023-06-03T16:41:29.961000Z
Vancouver,Glen & 6th,0,20,20,1,49.265024,-123.08127,2023-06-03T16:41:29.832000Z
Vancouver,Grant & Commercial,12,14,1,1,49.271377,-123.069416,2023-06-03T16:41:30.006000Z
Vancouver,2nd & Commercial,14,22,8,2,49.268616,-123.069908,2023-06-03T16:41:29.997000Z
Vancouver,4th & Commercial,11,14,3,0,49.266969,-123.069936,2023-06-03T16:41:29.999000Z
Vancouver,8th & Commercial,19,20,1,1,49.263242,-123.070521,2023-06-03T16:41:29.782000Z
Vancouver,10th & Commercial,22,26,3,0,49.261403,-123.070102,2023-06-03T16:41:30.003000Z
Vancouver,Woodland & 10th,5,14,9,0,49.261263,-123.073707,2023-06-03T16:41:29.953000Z
Vancouver,Glen & Broadway,8,18,10,3,49.262242,-123.081459,2023-06-03T16:41:29.943000Z
Vancouver,St George & Broadway,6,14,8,1,49.262321,-123.09306,2023-06-03T16:41:29.765000Z
Vancouver,7th & Woodland,4,12,8,1,49.264251,-123.073853,2023-06-03T16:41:29.955000Z
Vancouver,Woodland & 4th,1,14,13,0,49.266751,-123.073501,2023-06-03T16:41:29.959000Z
Vancouver,Woodland & Graveley,11,12,1,1,49.270684,-123.073562,2023-06-03T16:41:29.999000Z
Vancouver,Charles & Woodland,9,14,5,2,49.2731,-123.0732,2023-06-03T16:41:29.960000Z
Vancouver,18th & Main,15,16,1,1,49.254667,-123.101389,2023-06-03T16:41:29.994000Z
Vancouver,Prince Edward & 16th,10,14,4,0,49.256694,-123.096579,2023-06-03T16:41:29.996000Z
Vancouver,Prince Edward & 14th,14,14,0,0,49.258352,-123.096337,2023-06-03T16:41:29.996000Z
Vancouver,13th & St George,9,16,7,1,49.258817,-123.092797,2023-06-03T16:41:29.907000Z
Vancouver,10th & Fraser,10,14,3,2,49.26151,-123.089413,2023-06-03T16:41:29.765000Z
Vancouver,8th & Fraser,13,16,3,2,49.263382,-123.088837,2023-06-03T16:41:29.766000Z
Vancouver,St Catherines & 10th,6,12,6,1,49.261353,-123.085333,2023-06-03T16:41:29.788000Z
Vancouver,St Catherines & 7th,10,20,10,2,49.264466,-123.085183,2023-06-03T16:41:29.789000Z
Vancouver,Pender & Victoria,12,16,4,0,49.280197,-123.065859,2023-06-03T16:41:29.887000Z
Vancouver,Victoria & 4th,8,16,8,2,49.266725,-123.065925,2023-06-03T16:41:29.886000Z
Vancouver,Victoria & 10th,11,12,1,1,49.261188,-123.066009,2023-06-03T16:41:29.885000Z
Vancouver,15th & Victoria (Trout Lake),14,18,4,2,49.256857,-123.065646,2023-06-03T16:41:29.734000Z
Vancouver,Triumph & Victoria,6,18,12,1,49.283986,-123.065264,2023-06-03T16:41:29.774000Z
Vancouver,Windsor & 14th,7,14,7,1,49.257985,-123.083366,2023-06-03T16:41:29.775000Z
Vancouver,14th & Fraser,5,16,10,1,49.257939,-123.089531,2023-06-03T16:41:29.773000Z
Vancouver,15th & Knight,3,14,11,4,49.256496,-123.075426,2023-06-03T16:41:29.774000Z
Vancouver,Commercial & Pandora,3,16,13,0,49.283236,-123.070443,2023-06-03T16:41:29.772000Z
Vancouver,Carolina & Great Northern Way,9,16,6,1,49.267266,-123.090786,2023-06-03T16:41:29.769000Z
Vancouver,6th & Prince Edward,11,16,4,1,49.265242,-123.095577,2023-06-03T16:41:29.844000Z
Vancouver,6th & Carolina,12,16,4,2,49.265213,-123.090785,2023-06-03T16:41:29.833000Z
Vancouver,Stanley Park - Third Beach Parking Lot,34,38,4,2,49.302577,-123.155616,2023-06-03T16:41:29.820000Z
Vancouver,Union & Dunlevy,1,16,14,1,49.277595,-123.09583,2023-06-03T16:41:30.006000Z
Vancouver,Keefer & Hawks,13,16,3,1,49.279235,-123.087528,2023-06-03T16:41:30.013000Z
Vancouver,Hawks & Union,2,16,14,0,49.277333,-123.087359,2023-06-03T16:41:30.025000Z
Vancouver,Charles & Commercial,19,22,3,2,49.273103,-123.069892,2023-06-03T16:41:29.694000Z
Vancouver,10th & Kingsway,11,20,9,4,49.261973,-123.09725,2023-06-03T16:41:29.909000Z
Vancouver,Beach & Hornby,2,22,20,3,49.275295,-123.132585,2023-06-03T16:41:29.721000Z
Vancouver,Burrard Station (Melville & Dunsmuir),18,28,10,0,49.285871,-123.12105,2023-06-03T16:41:29.945000Z
Vancouver,Bute & Barclay,6,14,8,2,49.284893,-123.128685,2023-06-03T16:41:29.714000Z
Vancouver,8th & Yukon,15,22,6,0,49.263962,-123.112621,2023-06-03T16:41:29.894000Z
Vancouver,Princess & Union,3,12,9,0,49.277615,-123.091654,2023-06-03T16:41:29.851000Z
Vancouver,Dunsmuir & Richards,14,22,8,0,49.282214,-123.114101,2023-06-03T16:41:29.992000Z
Vancouver,5th & Main,14,20,6,4,49.266456,-123.100324,2023-06-03T16:41:29.849000Z
Vancouver,3rd & Quebec,0,20,19,0,49.268216,-123.103168,2023-06-03T16:41:29.829000Z
Vancouver,Richards & Cordova,4,24,20,0,49.284554,-123.111031,2023-06-03T16:41:29.716000Z
Vancouver,Richards & Robson,18,20,2,1,49.280216,-123.117639,2023-06-03T16:41:29.733000Z
Vancouver,Olympic Village Station,4,26,22,4,49.266314,-123.116011,2023-06-03T16:41:29.941000Z
Vancouver,Campbell & Hastings,10,14,4,1,49.280852,-123.084746,2023-06-03T16:41:29.830000Z
Vancouver,Cardero & Davie,8,18,5,4,49.285512,-123.1384,2023-06-03T16:41:29.718000Z
Vancouver,Aquatic Centre,24,40,16,1,49.27821,-123.136972,2023-06-03T16:41:30.013000Z
Vancouver,Beach & Broughton,9,22,13,1,49.281301,-123.139108,2023-06-03T16:41:30.009000Z
Vancouver,Beach & Cardero,9,22,13,0,49.283298,-123.142288,2023-06-03T16:41:29.697000Z
Vancouver,Georgia & Homer,8,18,9,0,49.280787,-123.115271,2023-06-03T16:41:29.704000Z
Vancouver,Columbia & 5th,10,18,8,0,49.266476,-123.109389,2023-06-03T16:41:29.958000Z
Vancouver,Haro & Denman,2,20,17,0,49.290587,-123.13625,2023-06-03T16:41:29.717000Z
Vancouver,Stanley Park - Prospect Point,0,0,0,0,49.312568,-123.144177,2023-06-03T16:41:29.819000Z
Vancouver,Arbutus & 10th,17,18,1,0,49.262835,-123.152626,2023-06-03T16:41:29.974000Z
Vancouver,Ontario & 16th,9,14,5,3,49.256825,-123.105234,2023-06-03T16:41:29.684000Z
Vancouver,Richards & Davie,13,14,1,1,49.275683,-123.124388,2023-06-03T16:41:30.012000Z
Vancouver,8th & Prince Edward,12,18,6,1,49.263518,-123.09568,2023-06-03T16:41:29.801000Z
Vancouver,Jervis & Robson,17,20,3,3,49.28691,-123.128818,2023-06-03T16:41:30.030000Z
Vancouver,Smithe & Burrard,14,20,5,1,49.282503,-123.124697,2023-06-03T16:41:29.852000Z
Vancouver,Broughton & Davie,15,22,3,2,49.283749,-123.136133,2023-06-03T16:41:30.010000Z
Vancouver,Cypress & 10th,11,14,3,0,49.262944,-123.148109,2023-06-03T16:41:29.922000Z
Vancouver,Granville Island,10,20,10,3,49.27029,-123.135025,2023-06-03T16:41:29.910000Z
Vancouver,McLean & Pender,8,16,8,2,49.280427,-123.074082,2023-06-03T16:41:30.022000Z
Vancouver,Richards & Smithe,6,18,11,1,49.279259,-123.119145,2023-06-03T16:41:29.744000Z
Vancouver,Bute & Robson,4,26,21,0,49.285836,-123.127265,2023-06-03T16:41:29.687000Z
Vancouver,Trafalgar & Cornwall,10,20,10,1,49.272969,-123.164325,2023-06-03T16:41:29.920000Z
Vancouver,Alma & Point Grey,8,24,15,5,49.27247,-123.185643,2023-06-03T16:41:30.027000Z
Vancouver,Point Grey & Blenheim,3,14,11,2,49.271471,-123.17731,2023-06-03T16:41:29.783000Z
Vancouver,Hastings & Broughton,13,24,11,0,49.290112,-123.127062,2023-06-03T16:41:29.685000Z
Vancouver,Yew & Broadway,15,18,3,1,49.263523,-123.155267,2023-06-03T16:41:30.027000Z
Vancouver,8th & Macdonald,4,22,18,1,49.264928,-123.168068,2023-06-03T16:41:29.823000Z
Vancouver,Balaclava & Broadway,3,18,15,7,49.264483,-123.173926,2023-06-03T16:41:29.781000Z
Vancouver,Dunbar & Broadway,16,26,10,1,49.264579,-123.18373,2023-06-03T16:41:30.028000Z
Vancouver,Grandview & Commercial,8,16,7,2,49.263746,-123.069892,2023-06-03T16:41:29.995000Z
Vancouver,14th & Oak,9,14,5,5,49.258761,-123.127071,2023-06-03T16:41:29.779000Z
Vancouver,Wallace & 4th,6,18,12,8,49.268974,-123.190701,2023-06-03T16:41:30.003000Z
Vancouver,Balsam & Cornwall,7,20,13,1,49.273011,-123.159663,2023-06-03T16:41:29.968000Z
Vancouver,Balaclava & 6th,2,16,14,2,49.266924,-123.173849,2023-06-03T16:41:29.741000Z
Vancouver,Trafalgar & Broadway,3,16,13,2,49.264326,-123.164725,2023-06-03T16:41:29.682000Z
