city,station_name,empty_slots,slots,free_bikes,ebikes,latitude,longitude,station_location,location_count
Vancouver,10th & Cambie,22,35,13,4,49.262487,-123.114397,"49.262487,-123.114397",0
Vancouver,Yaletown-Roundhouse Station,6,16,10,0,49.274566,-123.121817,"49.274566,-123.121817",0
Vancouver,Dunsmuir & Beatty,23,26,3,1,49.279764,-123.110154,"49.279764,-123.110154",0
Vancouver,12th & Yukon (City Hall),14,16,2,2,49.260599,-123.113504,"49.260599,-123.113504",0
Vancouver,8th & Ash,15,16,1,0,49.264215,-123.117772,"49.264215,-123.117772",0
Vancouver,Spyglass & Seawall,2,14,12,0,49.270877,-123.115103,"49.270877,-123.115103",3
Vancouver,Stamps Landing,7,14,7,1,49.26893,-123.11813,"49.26893,-123.11813",4
Vancouver,Ontario & Seawall,0,20,20,0,49.271721,-123.104207,"49.271721,-123.104207",1
Vancouver,Canada Place,13,26,13,2,49.287214,-123.11287,"49.287214,-123.11287",0
Vancouver,Granville & Georgia,16,20,4,3,49.282409,-123.118541,"49.282409,-123.118541",0
Vancouver,Pender & Burrard,14,26,12,2,49.287097,-123.118551,"49.287097,-123.118551",0
Vancouver,Marinaside & Davie,12,22,10,0,49.273471,-123.118016,"49.273471,-123.118016",2
Vancouver,Robson & Hornby,22,30,7,0,49.282758,-123.122092,"49.282758,-123.122092",0
Vancouver,Hornby & Pender,20,22,2,2,49.28602,-123.116624,"49.28602,-123.116624",0
Vancouver,Homer & Robson (Vancouver Public Library),19,20,1,1,49.279739,-123.116251,"49.279739,-123.116251",0
Vancouver,Beatty & Robson,16,20,4,0,49.277483,-123.114279,"49.277483,-123.114279",0
Vancouver,Beatty & Nelson,10,14,4,0,49.275679,-123.116963,"49.275679,-123.116963",0
Vancouver,Abbott & Cordova,9,22,13,1,49.282759,-123.106955,"49.282759,-123.106955",0
Vancouver,Comox & Denman,3,18,14,1,49.288444,-123.139203,"49.288444,-123.139203",0
Vancouver,Cordova & Bute,9,14,5,0,49.289124,-123.12196,"49.289124,-123.12196",1
Vancouver,Hornby & Nelson,17,18,1,1,49.28062,-123.12482,"49.28062,-123.12482",0
Vancouver,Helmcken & Burrard,15,15,0,0,49.279938,-123.127478,"49.279938,-123.127478",0
Vancouver,Pacific & Richards,9,14,5,0,49.273663,-123.127075,"49.273663,-123.127075",2
Vancouver,Chilco & Beach,8,14,6,0,49.28972,-123.144028,"49.28972,-123.144028",0
Vancouver,Comox & Broughton,11,12,1,1,49.285253,-123.134356,"49.285253,-123.134356",0
Vancouver,Bute & Comox,15,22,7,0,49.283343,-123.131099,"49.283343,-123.131099",0
Vancouver,Cambie & Water,15,32,17,0,49.284605,-123.108662,"49.284605,-123.108662",0
Vancouver,Keefer & Abbott,1,28,26,3,49.279821,-123.10802,"49.279821,-123.10802",0
Vancouver,Expo & Carrall,0,16,14,4,49.278004,-123.105664,"49.278004,-123.105664",1
Vancouver,Keefer & Columbia,8,14,6,0,49.279342,-123.101822,"49.279342,-123.101822",0
Vancouver,Marinaside & Cooperage,2,26,24,2,49.273833,-123.114373,"49.273833,-123.114373",2
Vancouver,Bidwell & Burnaby,12,26,13,2,49.28526,-123.141809,"49.28526,-123.141809",0
Vancouver,Robson & Granville,23,30,7,4,49.281506,-123.120101,"49.281506,-123.120101",0
Vancouver,Expo & Smithe,5,14,9,0,49.276115,-123.114496,"49.276115,-123.114496",2
